State,County,Name,Year,Total,Native,Foreign-born,Percent Foreign-born
Alabama,Baldwin County,"Baldwin County, Alabama",2005,160354.0,155982.0,4372.0,2.7264676902353546
Alabama,Calhoun County,"Calhoun County, Alabama",2005,109762.0,107543.0,2219.0,2.0216468358812705
Alabama,Cullman County,"Cullman County, Alabama",2005,78888.0,77073.0,1815.0,2.3007301490721024
Alabama,DeKalb County,"DeKalb County, Alabama",2005,66407.0,63325.0,3082.0,4.6410769948951165
Alabama,Elmore County,"Elmore County, Alabama",2005,68057.0,67262.0,795.0,1.1681384721630397
Alabama,Etowah County,"Etowah County, Alabama",2005,101151.0,98720.0,2431.0,2.403337584403516
Alabama,Houston County,"Houston County, Alabama",2005,93101.0,91793.0,1308.0,1.404925833234874
Alabama,Jefferson County,"Jefferson County, Alabama",2005,641690.0,619787.0,21903.0,3.4133304243482057
Alabama,Lauderdale County,"Lauderdale County, Alabama",2005,85898.0,85374.0,524.0,0.6100258446063936
Alabama,Lee County,"Lee County, Alabama",2005,118664.0,114370.0,4294.0,3.6186206431605203
Alabama,Limestone County,"Limestone County, Alabama",2005,67771.0,65520.0,2251.0,3.3214796889525022
Alabama,Madison County,"Madison County, Alabama",2005,290875.0,276593.0,14282.0,4.910012892135797
Alabama,Marshall County,"Marshall County, Alabama",2005,84662.0,80555.0,4107.0,4.851054782547069
Alabama,Mobile County,"Mobile County, Alabama",2005,393585.0,380810.0,12775.0,3.2458045911302515
Alabama,Montgomery County,"Montgomery County, Alabama",2005,209374.0,203156.0,6218.0,2.9698052289204964
Alabama,Morgan County,"Morgan County, Alabama",2005,112005.0,107609.0,4396.0,3.92482478460783
Alabama,Shelby County,"Shelby County, Alabama",2005,169822.0,163341.0,6481.0,3.8163488829480277
Alabama,St. Clair County,"St. Clair County, Alabama",2005,72100.0,72019.0,81.0,0.11234396671289874
Alabama,Talladega County,"Talladega County, Alabama",2005,76962.0,76111.0,851.0,1.1057404953093735
