Name,Year,Total,Native,Foreign-born,Percent Foreign-born
United States,2005,288378137,252688295,35689842,12.376056788243972
United States,2006,299398485,261850696,37547789,12.541075149394961
United States,2007,301621159,263561465,38059694,12.61837668358008
United States,2008,304059728,266098793,37960935,12.484696756684595
United States,2009,307006556,268489322,38517234,12.54606237138467
United States,2010,309349689,269393835,39955854,12.916080222728137
United States,2011,311591919,271214059,40377860,12.958570982708958
United States,2012,313914040,273089382,40824658,13.005043673739472
United States,2013,316128839,274780773,41348066,13.079498261150416
United States,2014,318857056,276465262,42391794,13.294921094673848
United States,2015,321418821,278128449,43290372,13.468524296528361
United States,2016,323127515,279388170,43739345,13.536248994456571
United States,2017,325719178,281193323,44525855,13.670013314352648
United States,2018,327167439,282438718,44728721,13.671507512090775
United States,2019,328239523,283306622,44932901,13.689058706071785
United States,2021,331893745,286623642,45270103,13.639938589381973
United States,2022,333287562,287105385,46182177,13.856555799102999
United States,2023,334914896,287083485,47831411,14.281661273137281
United States,2024,340110990,289876132,50234858,14.77013665450799
