Name,Year,Total,Native,Foreign-born,Percent Foreign-born
"Birmingham city, Alabama",2005,222154.0,212484.0,9670.0,4.3528363207504706
"Hoover city, Alabama",2005,74473.0,68897.0,5576.0,7.487277268271722
"Huntsville city, Alabama",2005,158618.0,149595.0,9023.0,5.688509500813275
"Mobile city, Alabama",2005,193332.0,185567.0,7765.0,4.016407009703515
"Montgomery city, Alabama",2005,193042.0,186907.0,6135.0,3.1780648770733833
"Tuscaloosa city, Alabama",2005,68006.0,64394.0,3612.0,5.3112960621121665
"Birmingham city, Alabama",2006,217131.0,208986.0,8145.0,3.751191676913937
"Hoover city, Alabama",2006,71832.0,65923.0,5909.0,8.226138768236996
"Huntsville city, Alabama",2006,166747.0,156141.0,10606.0,6.360534222504753
"Mobile city, Alabama",2006,194822.0,187897.0,6925.0,3.5545266961636774
"Montgomery city, Alabama",2006,202443.0,196701.0,5742.0,2.836353936663653
"Tuscaloosa city, Alabama",2006,76589.0,74138.0,2451.0,3.200198461920119
"Birmingham city, Alabama",2007,206215.0,201404.0,4811.0,2.333001963969643
"Dothan city, Alabama",2007,62837.0,61212.0,1625.0,2.5860559861228256
"Hoover city, Alabama",2007,72625.0,65992.0,6633.0,9.133218588640275
"Huntsville city, Alabama",2007,167121.0,158188.0,8933.0,5.345228906002237
"Mobile city, Alabama",2007,189476.0,183187.0,6289.0,3.31915387700817
"Montgomery city, Alabama",2007,200834.0,193274.0,7560.0,3.7643028570859514
"Tuscaloosa city, Alabama",2007,77430.0,73488.0,3942.0,5.0910499806276635
"Birmingham city, Alabama",2008,210422.0,200518.0,9904.0,4.706732185798063
"Dothan city, Alabama",2008,65403.0,64420.0,983.0,1.5029891595186764
"Hoover city, Alabama",2008,80221.0,73170.0,7051.0,8.78946909163436
"Huntsville city, Alabama",2008,165464.0,154658.0,10806.0,6.530725716772229
"Mobile city, Alabama",2008,186759.0,180532.0,6227.0,3.334243597363447
"Montgomery city, Alabama",2008,195793.0,190767.0,5026.0,2.5669967772085824
"Tuscaloosa city, Alabama",2008,83280.0,81215.0,2065.0,2.479586935638809
"Birmingham city, Alabama",2009,231824.0,222941.0,8883.0,3.8317861826212987
"Dothan city, Alabama",2009,67162.0,65048.0,2114.0,3.1476132336738036
"Hoover city, Alabama",2009,77050.0,68837.0,8213.0,10.659312134977288
"Huntsville city, Alabama",2009,179706.0,170545.0,9161.0,5.097770803423369
"Mobile city, Alabama",2009,193195.0,186416.0,6779.0,3.508889981624783
"Montgomery city, Alabama",2009,201465.0,196011.0,5454.0,2.7071699798972526
"Tuscaloosa city, Alabama",2009,93141.0,90163.0,2978.0,3.197303013710396
"Birmingham city, Alabama",2010,211670.0,204994.0,6676.0,3.1539660792743422
"Dothan city, Alabama",2010,66121.0,64272.0,1849.0,2.796388439376295
"Hoover city, Alabama",2010,80376.0,69637.0,10739.0,13.360953518463223
"Huntsville city, Alabama",2010,181126.0,166774.0,14352.0,7.923765776310414
"Mobile city, Alabama",2010,195249.0,188862.0,6387.0,3.2712075349937773
"Montgomery city, Alabama",2010,206655.0,195829.0,10826.0,5.238682828869372
"Tuscaloosa city, Alabama",2010,90637.0,87007.0,3630.0,4.004986925869127
"Birmingham city, Alabama",2011,211458.0,203581.0,7877.0,3.7250896159048135
"Dothan city, Alabama",2011,66384.0,64840.0,1544.0,2.3258616534104606
"Hoover city, Alabama",2011,80553.0,72135.0,8418.0,10.450262560053629
