Name,Year,Total,Native,Foreign-born,Percent Foreign-born
Alabama,2005,4442558.0,4321785.0,120773.0,2.7185463870139683
Alaska,2005,641724.0,607356.0,34368.0,5.355573424088861
Arizona,2005,5829839.0,4986543.0,843296.0,14.465167906009068
Arkansas,2005,2701431.0,2600262.0,101169.0,3.7450151419747537
California,2005,35278768.0,25667412.0,9611356.0,27.244023940972088
Colorado,2005,4562244.0,4101950.0,460294.0,10.089201717400472
Connecticut,2005,3394751.0,2971497.0,423254.0,12.467895288932827
Delaware,2005,818587.0,755720.0,62867.0,7.67994116691323
District of Columbia,2005,515118.0,447401.0,67717.0,13.14591996396942
Florida,2005,17382511.0,14169556.0,3212955.0,18.483837001455083
Georgia,2005,8821142.0,8025723.0,795419.0,9.017188477410294
Hawaii,2005,1238158.0,1025754.0,212404.0,17.154838073977636
Idaho,2005,1395634.0,1319257.0,76377.0,5.47256658980793
Illinois,2005,12440351.0,10745062.0,1695289.0,13.627340579056007
Indiana,2005,6093372.0,5851091.0,242281.0,3.976139976354636
Iowa,2005,2862541.0,2759398.0,103143.0,3.6031972991827894
Kansas,2005,2662616.0,2509081.0,153535.0,5.766321542422941
Kentucky,2005,4058633.0,3959835.0,98798.0,2.4342678926623815
Louisiana,2005,4389747.0,4268157.0,121590.0,2.7698635023840783
Maine,2005,1283673.0,1244946.0,38727.0,3.0168898153969117
Maryland,2005,5461318.0,4819945.0,641373.0,11.74392335330043
Massachusetts,2005,6182860.0,5291676.0,891184.0,14.413782618399898
Michigan,2005,9865583.0,9259927.0,605656.0,6.139079667162093
Minnesota,2005,4989848.0,4673132.0,316716.0,6.347207369843731
Mississippi,2005,2824156.0,2780820.0,43336.0,1.5344761408364127
Missouri,2005,5631910.0,5438175.0,193735.0,3.439951987869124
Montana,2005,910651.0,893917.0,16734.0,1.8375865177768431
Nebraska,2005,1706976.0,1610849.0,96127.0,5.631420711246086
Nevada,2005,2381281.0,1967983.0,413298.0,17.356120508247454
New Hampshire,2005,1272486.0,1200006.0,72480.0,5.69593692975797
New Jersey,2005,8521427.0,6858570.0,1662857.0,19.513832601042054
New Mexico,2005,1887200.0,1718560.0,168640.0,8.93598982619754
New York,2005,18655275.0,14658007.0,3997268.0,21.427011930941784
North Carolina,2005,8411041.0,7850288.0,560753.0,6.666867989348763
North Dakota,2005,609645.0,597677.0,11968.0,1.9631096785834377
Ohio,2005,11155606.0,10768390.0,387216.0,3.471044065199148
Oklahoma,2005,3433496.0,3277616.0,155880.0,4.539979076719472
Oregon,2005,3560109.0,3215534.0,344575.0,9.678776689140697
Pennsylvania,2005,11979147.0,11375473.0,603674.0,5.039373838554615
Rhode Island,2005,1032662.0,902145.0,130517.0,12.638888619896926
South Carolina,2005,4113961.0,3943211.0,170750.0,4.150501183652446
South Dakota,2005,746033.0,728764.0,17269.0,2.3147769602685138
Tennessee,2005,5810590.0,5587472.0,223118.0,3.839851030618233
Texas,2005,22270165.0,18727652.0,3542513.0,15.906990361319732
Utah,2005,2427350.0,2234434.0,192916.0,7.947597173872742
Vermont,2005,602290.0,580447.0,21843.0,3.6266582543293095
Virginia,2005,7332608.0,6608941.0,723667.0,9.869162513528611
Washington,2005,6146338.0,5396080.0,750258.0,12.206585449742596
West Virginia,2005,1771750.0,1752448.0,19302.0,1.0894313531818822
Wisconsin,2005,5375751.0,5148379.0,227372.0,4.229585782526014
Wyoming,2005,495226.0,483991.0,11235.0,2.2686611769172056
Alabama,2006,4599030.0,4468981.0,130049.0,2.8277484600013483
Alaska,2006,670053.0,622987.0,47066.0,7.024220472111907
Arizona,2006,6166318.0,5237235.0,929083.0,15.067062710680831
Arkansas,2006,2810872.0,2703526.0,107346.0,3.818957248853737
California,2006,36457549.0,26555482.0,9902067.0,27.160539508566522
Colorado,2006,4753377.0,4263881.0,489496.0,10.297857712527325
Connecticut,2006,3504809.0,3052451.0,452358.0,12.906780369486611
Delaware,2006,853476.0,784754.0,68722.0,8.052013179046629
District of Columbia,2006,581530.0,507710.0,73820.0,12.694100046429247
Florida,2006,18089889.0,14664255.0,3425634.0,18.93673311096602
Georgia,2006,9363941.0,8504351.0,859590.0,9.179788723572692
Hawaii,2006,1285498.0,1075336.0,210162.0,16.348683545209717
Idaho,2006,1466465.0,1384425.0,82040.0,5.594405594405594
Illinois,2006,12831970.0,11058370.0,1773600.0,13.82172807448895
Indiana,2006,6313520.0,6049913.0,263607.0,4.175277816495393
Iowa,2006,2982085.0,2869786.0,112299.0,3.7657880308576046
Kansas,2006,2764075.0,2590681.0,173394.0,6.2731293470690925
Kentucky,2006,4206074.0,4094350.0,111724.0,2.656253789163006
Louisiana,2006,4287768.0,4162564.0,125204.0,2.9200273895415982
Maine,2006,1321574.0,1279618.0,41956.0,3.1746992601246693
